web-scraper-order,web-scraper-start-url,huizen,prijzen,adres,vierkante_meter,energielabel,prijs per m2,Wijk code,regio,PrijsRange
1709624856-12,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=22,Opijnenhof 98,265000.0,1106 XW Amsterdam,58.0,A+,4568.9655172413795,1106,Amsterdam-Zuid-Oost,€250k - €500k
1709624856-13,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=22,Spadinalaan 42 +PP,750000.0,1031 KB Amsterdam,92.0,A,8152.173913043478,1031,Amsterdam-Noord,€750k - €1M
1709624856-14,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=22,Saxenburgerstraat 34 2,490000.0,1054 KR Amsterdam,51.0,G,9607.843137254902,1054,Amsterdam-West,€250k - €500k
1709624856-15,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=22,Boeroestraat 84,475000.0,1095 WB Amsterdam,72.0,B,6597.222222222223,1095,Amsterdam-Oost,€250k - €500k
1709624856-16,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=22,Nieuwendammerkade 28 -C-10,835000.0,1022 AB Amsterdam,138.0,A,6050.724637681159,1022,Amsterdam-Noord,€750k - €1M
1709624856-17,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=22,Bentinckstraat 8 H,350000.0,1051 GK Amsterdam,34.0,G,10294.117647058823,1051,Amsterdam-West,€250k - €500k
1709624856-18,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=22,Rooseveltlaan 21 4,650000.0,1079 AB Amsterdam,91.0,D,7142.857142857143,1079,Amsterdam-Zuid,€500k - €750k
1709624907-1,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=23,Nicolaas Beetsstraat 179,375000.0,1053 RL Amsterdam,56.0,B,6696.428571428572,1053,Amsterdam-West,€250k - €500k
1709624907-2,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=23,Valkenburgerstraat 194 Z,1250000.0,1011 NC Amsterdam,140.0,A,8928.57142857143,1011,Amsterdam-Centrum: Binnenstad (en delen van West en Westpoort),"€1,25M - €1,5M"
1709624907-4,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=23,Ceintuurbaan 250 I,745000.0,1072 GH Amsterdam,77.0,C,9675.324675324675,1072,Amsterdam-Zuid,€500k - €750k
1709624907-5,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=23,Wiltzanghlaan 31 I,425000.0,1055 KE Amsterdam,54.0,C,7870.37037037037,1055,Amsterdam-West,€250k - €500k
1709624907-6,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=23,Baarsjesweg 238 1,450000.0,1058 AA Amsterdam,55.0,D,8181.818181818182,1058,Amsterdam-West,€250k - €500k
1709624907-8,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=23,Vrijheidslaan 37 III-IV,1000000.0,1079 KD Amsterdam,170.0,,5882.35294117647,1079,Amsterdam-Zuid,"€1M - €1,25M"
1709624907-9,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=23,Lidewijdepad 158,385000.0,1055 JR Amsterdam,46.0,A,8369.565217391304,1055,Amsterdam-West,€250k - €500k
1709624907-10,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=23,Jan Haringstraat 38 -3,575000.0,1056 XJ Amsterdam,66.0,F,8712.121212121212,1056,Amsterdam-West,€500k - €750k
1709624907-12,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=23,H. Diesveldsingel 188,400000.0,1060 RL Amsterdam,76.0,A,5263.1578947368425,1060,Amsterdam Nieuw-West,€250k - €500k
1709624907-13,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=23,Valeriusplein 5 C,1375000.0,1075 BG Amsterdam,144.0,,9548.611111111111,1075,Amsterdam-Zuid,"€1,25M - €1,5M"
1709624907-14,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=23,Martini van Geffenstraat 64,450000.0,1068 GL Amsterdam,114.0,B,3947.3684210526317,1068,Amsterdam Nieuw-West,€250k - €500k
1709624907-15,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=23,Koninginneweg 37 B,1250000.0,1075 CG Amsterdam,85.0,A,14705.882352941177,1075,Amsterdam-Zuid,"€1,25M - €1,5M"
1709624907-16,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=23,Koninginneweg 37 C,1750000.0,1075 CG Amsterdam,140.0,A,12500.0,1075,Amsterdam-Zuid,"> €1,5M"
1709624907-17,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=23,Jan van Galenstraat 88 2,400000.0,1056 CD Amsterdam,52.0,D,7692.307692307692,1056,Amsterdam-West,€250k - €500k
1709624907-18,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=23,President Brandstraat 15,795000.0,1091 XD Amsterdam,121.0,B,6570.247933884298,1091,Amsterdam-Oost,€750k - €1M
1709625039-1,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=24,Ponserstraat 8,400000.0,1033 DL Amsterdam,76.0,C,5263.1578947368425,1033,Amsterdam-Noord,€250k - €500k
1709625039-2,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=24,Lomanstraat 92 1,619011.0,1075 RH Amsterdam,65.0,E,9523.246153846154,1075,Amsterdam-Zuid,€500k - €750k
1709625039-4,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=24,Fleerde 605 +PP,399000.0,1102 AV Amsterdam,97.0,C,4113.40206185567,1102,Amsterdam-Zuid-Oost,€250k - €500k
1709625039-5,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=24,Lijnbaansgracht 213 H,535000.0,1016 XJ Amsterdam,58.0,D,9224.137931034482,1016,Amsterdam-Zuid-Oost,€500k - €750k
1709625039-6,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=24,Valeriusstraat 193,2000000.0,1075 EW Amsterdam,202.0,,9900.990099009901,1075,Amsterdam-Zuid,"> €1,5M"
1709625039-8,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=24,Quellijnstraat 19 D,600000.0,1072 XM Amsterdam,61.0,E,9836.065573770491,1072,Amsterdam-Zuid,€500k - €750k
1709625039-9,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=24,Eerste Helmersstraat 169 D,575000.0,1054 DS Amsterdam,59.0,A,9745.762711864407,1054,Amsterdam-West,€500k - €750k
1709625039-10,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=24,Van Boshuizenstraat 357,450000.0,1082 AN Amsterdam,73.0,E,6164.3835616438355,1082,Amsterdam-Zuid,€250k - €500k
1709625039-12,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=24,President Kennedylaan 148 H,965000.0,1079 NL Amsterdam,110.0,B,8772.727272727272,1079,Amsterdam-Zuid,€750k - €1M
1709625039-13,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=24,Kennemerduinstraat 42,325000.0,1024 XB Amsterdam,66.0,B,4924.242424242424,1024,Amsterdam-Noord,€250k - €500k
1709625039-14,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=24,Nieuwe Achtergracht 138,3500000.0,1018 WV Amsterdam,333.0,,10510.51051051051,1018,Amsterdam-Zuid-Oost,"> €1,5M"
1709625039-15,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=24,Marie Heinekenplein 414,700000.0,1072 ML Amsterdam,74.0,A,9459.45945945946,1072,Amsterdam-Zuid,€500k - €750k
1709625039-16,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=24,Nedersticht 204,400000.0,1083 XE Amsterdam,64.0,E,6250.0,1083,Amsterdam-Zuid,€250k - €500k
1709625039-17,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=24,Cornelis van Vollenhovenstraat 178,420000.0,1063 KV Amsterdam,82.0,,5121.951219512195,1063,Amsterdam Nieuw-West,€250k - €500k
1709625039-18,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=24,Ladogameerhof 151,525000.0,1060 RE Amsterdam,114.0,A,4605.263157894737,1060,Amsterdam Nieuw-West,€500k - €750k
1709625099-1,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=25,Parnassusweg 24 3,1300000.0,1076 AR Amsterdam,161.0,C,8074.534161490683,1076,Amsterdam-Zuid,"€1,25M - €1,5M"
1709625099-2,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=25,Baden Powellweg 7,395000.0,1069 LB Amsterdam,89.0,C,4438.202247191011,1069,Amsterdam Nieuw-West,€250k - €500k
1709625099-4,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=25,Jan Evertsenstraat 106 II,475000.0,1056 EH Amsterdam,55.0,A,8636.363636363636,1056,Amsterdam-West,€250k - €500k
1709625099-5,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=25,Koninginneweg 8 III,1475000.0,1075 CX Amsterdam,130.0,,11346.153846153846,1075,Amsterdam-Zuid,"€1,25M - €1,5M"
1709625099-6,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=25,Roelof Hartstraat 25 2,685000.0,1071 VG Amsterdam,70.0,,9785.714285714286,1071,Amsterdam-Zuid,€500k - €750k
1709625099-8,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=25,Nydia Ecurystraat 63,700000.0,1087 VV Amsterdam,120.0,A,5833.333333333333,1087,Amsterdam-Oost,€500k - €750k
1709625099-9,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=25,IJdoornlaan 867,1650000.0,1025 AZ Amsterdam,303.0,A++++,5445.544554455446,1025,Amsterdam-Noord,"> €1,5M"
1709625099-10,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=25,Raamstraat 11 3&4,795000.0,1016 XL Amsterdam,99.0,C,8030.30303030303,1016,Amsterdam-Zuid-Oost,€750k - €1M
1709625099-12,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=25,Lambertus Zijlplein 105,450000.0,1067 JR Amsterdam,108.0,A,4166.666666666667,1067,Amsterdam Nieuw-West,€250k - €500k
1709625099-13,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=25,Eerste Helmersstraat 169,1400000.0,1054 DS Amsterdam,140.0,A,10000.0,1054,Amsterdam-West,"€1,25M - €1,5M"
1709625099-14,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=25,Jan Mankesstraat 3 H,600000.0,1061 SR Amsterdam,117.0,D,5128.205128205128,1061,Amsterdam Nieuw-West,€500k - €750k
1709625099-15,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=25,Joh.M. Coenenstraat 52 +PP,925000.0,1071 WH Amsterdam,96.0,,9635.416666666666,1071,Amsterdam-Zuid,€750k - €1M
1709625099-16,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=25,Oudezijds Voorburgwal 217 M,995000.0,1012 EX Amsterdam,123.0,,8089.430894308943,1012,Amsterdam-Centrum: Binnenstad (en delen van West en Westpoort),€750k - €1M
1709625099-17,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=25,Marnixstraat 156 III+IV,739000.0,1016 TE Amsterdam,97.0,C,7618.556701030928,1016,Amsterdam-Zuid-Oost,€500k - €750k
1709625099-18,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=25,Jan Tooropstraat 127,800000.0,1061 AE Amsterdam,124.0,A+++,6451.612903225807,1061,Amsterdam Nieuw-West,€750k - €1M
1709625126-1,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=26,Ladogameerhof 90,415000.0,1060 PJ Amsterdam,78.0,A,5320.51282051282,1060,Amsterdam Nieuw-West,€250k - €500k
1709625126-2,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=26,Singel 299 2,1950000.0,1012 WH Amsterdam,203.0,,9605.91133004926,1012,Amsterdam-Centrum: Binnenstad (en delen van West en Westpoort),"> €1,5M"
1709625126-4,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=26,Warmoesstraat 16 r,795000.0,1012 JD Amsterdam,119.0,,6680.672268907563,1012,Amsterdam-Centrum: Binnenstad (en delen van West en Westpoort),€750k - €1M
1709625126-5,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=26,Suze Groenewegplantsoen 6,375000.0,1067 DB Amsterdam,88.0,A,4261.363636363636,1067,Amsterdam Nieuw-West,€250k - €500k
1709625126-6,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=26,Valeriusstraat 92 -huis,1500000.0,1075 GC Amsterdam,168.0,B,8928.57142857143,1075,Amsterdam-Zuid,"> €1,5M"
1709625126-8,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=26,Mauritskade 99 -H,500000.0,1093 RR Amsterdam,55.0,A,9090.90909090909,1093,Amsterdam-Oost,€500k - €750k
1709625126-9,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=26,Nicolaas Berchemstraat 1 3,1125000.0,1073 VR Amsterdam,143.0,F,7867.132867132867,1073,Amsterdam-Zuid,"€1M - €1,25M"
1709625126-10,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=26,Hendrik Jacobszstraat 5 1,675000.0,1075 PA Amsterdam,66.0,E,10227.272727272728,1075,Amsterdam-Zuid,€500k - €750k
1709625126-12,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=26,Vondelstraat 128 I,2750000.0,1054 GS Amsterdam,251.0,D,10956.175298804781,1054,Amsterdam-West,"> €1,5M"
1709625126-13,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=26,Toutenburgstraat 105,295000.0,1107 PX Amsterdam,71.0,A,4154.929577464789,1107,Amsterdam-Zuid-Oost,€250k - €500k
1709625126-14,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=26,Mensinge 74,625000.0,1083 HG Amsterdam,110.0,D,5681.818181818182,1083,Amsterdam-Zuid,€500k - €750k
1709625126-15,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=26,Drostenburg 72,650000.0,1102 AM Amsterdam,186.0,A,3494.6236559139784,1102,Amsterdam-Zuid-Oost,€500k - €750k
1709625126-16,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=26,Gustav Mahlerlaan 254,2500000.0,1082 ME Amsterdam,276.0,,9057.971014492754,1082,Amsterdam-Zuid,"> €1,5M"
1709625126-17,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=26,Lauriergracht 126 hs,965000.0,1016 RS Amsterdam,115.0,C,8391.304347826086,1016,Amsterdam-Zuid-Oost,€750k - €1M
1709625126-18,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=26,Voorsteven 92,399500.0,1034 SP Amsterdam,90.0,B,4438.888888888889,1034,Amsterdam-Noord,€250k - €500k
1709631917-1,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=27,Kleiburg 1003,375000.0,1104 EA Amsterdam,98.0,B,3826.530612244898,1104,Amsterdam-Zuid-Oost,€250k - €500k
1709631917-2,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=27,Burmanstraat 34 -o,1450000.0,1091 SK Amsterdam,137.0,A,10583.941605839416,1091,Amsterdam-Oost,"€1,25M - €1,5M"
1709631917-4,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=27,Geleenstraat 42 -2,850000.0,1078 LG Amsterdam,130.0,F,6538.461538461538,1078,Amsterdam-Zuid,€750k - €1M
1709631917-5,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=27,Stadionweg 106 2,1095000.0,1077 ST Amsterdam,189.0,,5793.650793650793,1077,Amsterdam-Zuid,"€1M - €1,25M"
1709631917-6,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=27,Willem Leevendstraat 1 -H,720000.0,1055 KB Amsterdam,121.0,B,5950.413223140496,1055,Amsterdam-West,€500k - €750k
1709631917-8,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=27,H. Diesveldsingel 158,445000.0,1060 RL Amsterdam,76.0,A,5855.263157894737,1060,Amsterdam Nieuw-West,€250k - €500k
1709631917-9,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=27,Mendelhof 15 1,495000.0,1098 TP Amsterdam,68.0,C,7279.411764705882,1098,Amsterdam-Oost,€250k - €500k
1709631917-10,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=27,Pieter Lastmankade 2 III,1650000.0,1075 KJ Amsterdam,175.0,C,9428.57142857143,1075,Amsterdam-Zuid,"> €1,5M"
1709631917-12,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=27,Kea Boumanstraat 22 B +PP,875000.0,1095 MA Amsterdam,128.0,A+,6835.9375,1095,Amsterdam-Oost,€750k - €1M
1709631917-13,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=27,Prinsengracht 474 D,1390000.0,1017 KG Amsterdam,124.0,C,11209.677419354839,1017,Amsterdam-Zuid-Oost,"€1,25M - €1,5M"
1709631917-14,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=27,Prinsengracht 474 A,1315000.0,1017 KG Amsterdam,118.0,B,11144.06779661017,1017,Amsterdam-Zuid-Oost,"€1,25M - €1,5M"
1709631917-15,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=27,Prinsengracht 474 C,1275000.0,1017 KG Amsterdam,122.0,C,10450.819672131147,1017,Amsterdam-Zuid-Oost,"€1,25M - €1,5M"
1709631917-16,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=27,Keizersgracht 255 E,1250000.0,1016 EB Amsterdam,115.0,,10869.565217391304,1016,Amsterdam-Zuid-Oost,"€1,25M - €1,5M"
1709631917-17,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=27,Laan van Vlaanderen 170,550000.0,1066 MR Amsterdam,80.0,B,6875.0,1066,Amsterdam Nieuw-West,€500k - €750k
1709631917-18,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=27,Bos en Lommerplantsoen 39 -D,250000.0,1055 AA Amsterdam,29.0,B,8620.689655172413,1055,Amsterdam-West,€250k - €500k
1709625194-1,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=28,Prinsengracht 474 C,1275000.0,1017 KG Amsterdam,122.0,C,10450.819672131147,1017,Amsterdam-Zuid-Oost,"€1,25M - €1,5M"
1709625194-2,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=28,Keizersgracht 255 E,1250000.0,1016 EB Amsterdam,115.0,,10869.565217391304,1016,Amsterdam-Zuid-Oost,"€1,25M - €1,5M"
1709625194-4,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=28,Laan van Vlaanderen 170,550000.0,1066 MR Amsterdam,80.0,B,6875.0,1066,Amsterdam Nieuw-West,€500k - €750k
1709625194-5,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=28,Bos en Lommerplantsoen 39 -D,250000.0,1055 AA Amsterdam,29.0,B,8620.689655172413,1055,Amsterdam-West,€250k - €500k
1709625194-6,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=28,Plantage Muidergracht 139 -3,900000.0,1018 TS Amsterdam,99.0,A+,9090.90909090909,1018,Amsterdam-Zuid-Oost,€750k - €1M
1709625194-8,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=28,Van Woustraat 189 III,900000.0,1074 AM Amsterdam,149.0,D,6040.268456375839,1074,Amsterdam-Zuid,€750k - €1M
1709625194-9,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=28,Narva-eiland 93,1750000.0,1014 ZJ Amsterdam,206.0,A++,8495.14563106796,1014,Amsterdam-Centrum: Binnenstad (en delen van West en Westpoort),"> €1,5M"
1709625194-10,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=28,Leliegracht 12 -1,2082000.0,1015 DE Amsterdam,227.0,,9171.80616740088,1015,Amsterdam-Zuid-Oost,"> €1,5M"
1709625194-12,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=28,Pieter Calandlaan 929 +PP,650000.0,1069 SC Amsterdam,153.0,A+,4248.366013071895,1069,Amsterdam Nieuw-West,€500k - €750k
1709625194-13,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=28,Overhoeksparklaan 124,3450000.0,1031 KC Amsterdam,240.0,A,14375.0,1031,Amsterdam-Noord,"> €1,5M"
1709625194-14,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=28,Wittenburgergracht 5,1300000.0,1018 MT Amsterdam,142.0,,9154.929577464789,1018,Amsterdam-Zuid-Oost,"€1,25M - €1,5M"
1709625194-15,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=28,Herengracht 242 A,3300000.0,1016 BT Amsterdam,191.0,,17277.486910994765,1016,Amsterdam-Zuid-Oost,"> €1,5M"
1709625194-16,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=28,Keizersgracht 378 c,2750000.0,1016 GA Amsterdam,259.0,,10617.760617760618,1016,Amsterdam-Zuid-Oost,"> €1,5M"
1709625194-17,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=28,NDSM-straat 139,625000.0,1033 NA Amsterdam,64.0,A++,9765.625,1033,Amsterdam-Noord,€500k - €750k
1709625194-18,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=28,Spuistraat 240 -A,1450000.0,1012 VV Amsterdam,200.0,,7250.0,1012,Amsterdam-Centrum: Binnenstad (en delen van West en Westpoort),"€1,25M - €1,5M"
1709625223-1,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=29,Zeedijk 97 II,425000.0,1012 AT Amsterdam,50.0,D,8500.0,1012,Amsterdam-Centrum: Binnenstad (en delen van West en Westpoort),€250k - €500k
1709625223-2,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=29,Amstelveenseweg 910 2,530000.0,1081 JN Amsterdam,61.0,G,8688.524590163934,1081,Amsterdam-Zuid,€500k - €750k
1709625223-4,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=29,Botterstraat 150,399000.0,1034 BV Amsterdam,76.0,,5250.0,1034,Amsterdam-Noord,€250k - €500k
1709625223-5,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=29,Gustav Mahlerlaan 268,3250000.0,1082 ME Amsterdam,283.0,A+,11484.098939929328,1082,Amsterdam-Zuid,"> €1,5M"
1709625223-6,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=29,Reguliersdwarsstraat 46 B,1330000.0,1017 BM Amsterdam,162.0,,8209.876543209877,1017,Amsterdam-Zuid-Oost,"€1,25M - €1,5M"
1709625223-8,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=29,Keizersstraat 32,1050000.0,1011 GD Amsterdam,89.0,,11797.752808988764,1011,Amsterdam-Centrum: Binnenstad (en delen van West en Westpoort),"€1M - €1,25M"
1709625223-9,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=29,Stokerkade 132,1875000.0,1019 XB Amsterdam,215.0,A,8720.93023255814,1019,Oostelijk Havengebied (Amsterdam-Oost),"> €1,5M"
1709625223-10,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=29,Ploegstraat 149,550000.0,1097 WD Amsterdam,70.0,E,7857.142857142857,1097,Amsterdam-Oost,€500k - €750k
1709625223-12,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=29,Smalschipstraat 7,730000.0,1086 VM Amsterdam,140.0,A+++,5214.285714285715,1086,Amsterdam-Oost,€500k - €750k
1709625223-13,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=29,IJsbaanpad 126,1100000.0,1076 CW Amsterdam,127.0,,8661.417322834646,1076,Amsterdam-Zuid,"€1M - €1,25M"
1709625223-14,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=29,IJburglaan 862,1095000.0,1087 GE Amsterdam,205.0,A,5341.463414634146,1087,Amsterdam-Oost,"€1M - €1,25M"
1709625223-15,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=29,William Barlowlaan 127,1190000.0,1086 ZR Amsterdam,216.0,,5509.259259259259,1086,Amsterdam-Oost,"€1M - €1,25M"
1709625223-16,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=29,Korsjespoortsteeg 10,1675000.0,1015 AR Amsterdam,173.0,,9682.08092485549,1015,Amsterdam-Zuid-Oost,"> €1,5M"
1709625223-17,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=29,A. Reitsmakade 16,750000.0,1060 RJ Amsterdam,171.0,,4385.964912280701,1060,Amsterdam Nieuw-West,€750k - €1M
1709625223-18,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=29,Kerkstraat 87,1100000.0,1017 GD Amsterdam,146.0,,7534.246575342466,1017,Amsterdam-Zuid-Oost,"€1M - €1,25M"
1709563700-1,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=3,Amstelveenseweg 745,975000.0,1081 JE Amsterdam,162.0,,6018.518518518518,1081,Amsterdam-Zuid,€750k - €1M
